SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500670,GUJ.NARMADA ,A ,Q,406.00,417.20,403.00,413.35,413.35,407.90,2520,159257,65589963.00,
500672,NOVARTIS    ,B ,Q,605.05,614.00,601.10,602.50,602.50,603.55,278,6920,4177193.00,
500674,SANOFI      ,A ,Q,5014.10,5052.10,4980.00,5035.05,5037.80,5007.40,45,178,890737.00,
500676,GLAXOSMITHKL,A ,Q,6522.95,6649.95,6505.55,6579.60,6579.60,6493.85,63,125,822869.00,
500680,PFIZER LTD. ,A ,Q,2148.00,2161.00,2115.50,2120.80,2115.50,2135.85,115,637,1360201.00,
500690,GUJ.ST.FERT ,A ,Q,121.90,124.40,120.30,123.00,123.00,121.55,742,112733,13891131.00,
500696,HIND UNI LT ,A ,Q,1309.40,1319.50,1303.70,1312.90,1314.00,1309.45,1419,63901,83931894.00,
500710,AKZOINDIA   ,B ,Q,1777.20,1777.20,1751.95,1764.95,1775.00,1767.15,42,380,669626.00,
500730,NOCIL LTD   ,B ,Q,194.50,197.50,191.45,194.65,194.55,194.70,1016,114328,22314951.00,
500770,TATA CHEM.  ,A ,Q,664.00,676.95,658.30,673.45,673.45,665.90,887,36601,24431297.00,
500777,T.P.L.      ,B ,Q,51.20,52.05,50.10,51.05,51.05,51.20,158,55156,2854878.00,
500780,ZUARIGLOB   ,B ,Q,183.00,189.80,183.00,185.05,184.35,186.55,133,3882,721828.00,
500790,NESTLE (I)  ,A ,Q,7694.50,7879.00,7694.50,7841.05,7841.05,7664.40,742,6115,47834072.00,
500800,TATAGLOBAL  ,A ,Q,257.00,263.50,255.40,261.95,262.45,261.05,1395,194388,50631744.00,
500820,ASIAN PAINTS,A ,Q,1103.00,1116.80,1094.95,1106.55,1108.85,1102.50,603,21514,23808241.00,
500825,BRITANIA IND,A ,Q,4811.40,4845.00,4780.05,4815.30,4815.30,4807.85,537,4647,22384310.00,
500830,COLGATE PALM,A ,Q,1028.00,1044.90,1022.50,1040.35,1044.90,1035.90,658,19753,20356619.00,XD
500840,EIH LTD.    ,B ,Q,167.00,171.50,156.95,166.85,171.50,166.05,404,11472,1876206.00,
500850,INDIAN HOTEL,A ,Q,127.70,130.60,126.65,128.90,128.90,128.70,497,320759,41570064.00,
500870,CASTROL     ,A ,Q,200.00,203.50,199.35,202.15,202.15,200.05,1456,63191,12739081.00,
500875,ITC LTD.    ,A ,Q,258.80,259.85,257.60,258.75,258.75,259.30,3997,697884,180528348.00,
500877,APOLLO TYRES,A ,Q,262.00,264.90,257.95,262.90,262.15,261.05,508,57643,15112219.00,
500878,CEAT LIMITED,A ,Q,1530.05,1542.00,1512.00,1526.35,1535.00,1539.35,815,21161,32333524.00,
500890,MODI RUBBER ,T ,Q,89.00,89.00,85.00,85.00,85.00,89.00,6,5058,439938.00,
500940,FINOLEX IND.,A ,Q,650.00,672.65,650.00,665.90,664.00,663.00,218,3715,2476803.00,
500945,VALUE IND L ,Z ,Q,5.50,5.75,5.50,5.70,5.70,5.48,14,5109,29049.00,
501148,DALAL ST INV,XT,Q,142.80,142.80,137.20,137.20,137.20,140.00,15,422,59442.00,
501150,CENTRUM CAP ,B ,Q,56.50,58.20,55.55,57.95,57.95,56.30,1155,686552,39511034.00,
501179,OSCAR INV.  ,X ,Q,81.35,82.80,79.25,81.50,81.50,78.90,53,4982,406703.00,
501242,TCI FINANCE ,B ,Q,25.00,26.35,25.00,25.50,25.50,25.95,25,1810,46605.00,
501295,INDUS.INV.TR,B ,Q,98.05,98.05,98.00,98.00,98.00,95.50,4,514,50377.00,
501298,INDUS.&PRUD.,X ,Q,1191.00,1200.25,1181.00,1200.25,1200.25,1228.00,4,13,15401.00,
501301,TATA INVEST.,B ,Q,742.00,743.00,730.00,731.15,731.15,744.70,303,4759,3489168.00,
501343,MOTOR&GEN.FI,B ,Q,42.00,42.00,37.25,39.00,39.00,39.05,10,1311,50804.00,
501370,WALCHAND PF ,X ,Q,129.00,130.00,129.00,130.00,130.00,129.20,14,2615,339339.00,
501391,W.H.BRADY   ,X ,Q,180.00,180.00,180.00,180.00,180.00,188.95,1,100,18000.00,
501421,SOLIX TECHNO,XT,Q,107.10,108.00,107.10,108.00,108.00,106.00,2,25,2682.00,
501423,SHA ENG PLA ,X ,Q,1155.00,1165.00,1100.00,1140.75,1100.00,1151.60,78,2754,3152708.00,
501425,BOM.BURMAH  ,A ,Q,1178.00,1242.80,1159.60,1202.20,1202.20,1189.10,3035,40564,48589995.00,
501430,BOM.CYCLE   ,X ,Q,2062.20,2150.00,2050.80,2058.00,2050.80,2158.70,20,62,127870.00,
501455,GREAVES COTT,A ,Q,115.55,117.65,115.00,116.65,116.60,117.00,350,33587,3901598.00,
501700,INDIA NIVEH ,X ,Q,36.60,37.45,36.15,36.55,36.55,36.85,58,5762,210404.00,
501831,COAST CORP  ,X ,Q,88.30,88.30,88.30,88.30,88.30,88.30,1,1,88.00,
501833,CHOWGULE ST ,XT,Q,13.80,14.45,13.15,14.40,14.40,13.80,7,310,4183.00,
501848,GLOBAL OFFS ,B ,Q,25.80,26.15,25.00,25.05,25.00,25.90,56,29865,769195.00,
502015,ASIIL       ,X ,Q,30.60,30.85,29.70,30.10,30.10,31.20,168,39188,1182401.00,
502090,SAGAR CEM.  ,B ,Q,900.65,912.90,895.00,896.15,896.60,908.00,42,476,430805.00,
502137,DECAN CEMENT,B ,Q,521.00,553.95,515.00,524.65,519.10,524.85,60,595,310541.00,
502157,MANGALAM CEM,B ,Q,305.00,320.00,305.00,311.65,311.65,316.60,161,5006,1567804.00,
502165,OCL INDIA L ,B ,Q,1304.75,1340.00,1258.80,1337.00,1330.00,1316.55,107,2589,3433403.00,
502168,N C L IND.  ,B ,Q,216.00,227.00,216.00,224.05,224.05,216.30,80,4577,1020215.00,
502175,SAURAS.CEM. ,X ,Q,72.25,74.60,72.00,72.20,72.20,73.85,122,23889,1747176.00,
502180,SRI DIGV CEM,X ,Q,24.05,24.50,23.50,24.05,24.10,24.30,79,22668,548525.00,
502219,BOROSIL GLAS,B ,Q,810.50,836.00,807.00,824.15,824.15,815.05,627,61417,50452418.00,
502250,MARATH.REFRA,XT,Q,444.00,444.00,444.00,444.00,444.00,466.00,1,5,2220.00,
502281,TRIVENI GLAS,XT,Q,16.75,16.95,16.00,16.10,16.80,16.15,32,19135,312040.00,
502294,NILACHAL REF,XT,Q,40.00,40.00,40.00,40.00,40.00,40.00,1,1,40.00,
502330,IPAPPM      ,B ,Q,289.95,295.25,289.95,291.65,293.00,292.25,85,5254,1532269.00,
502355,BALKRISH IND,A ,Q,1056.00,1089.70,1041.10,1083.40,1080.00,1061.75,410,9050,9590410.00,
502407,NATH PULP   ,X ,Q,43.00,43.00,37.15,38.10,38.10,40.10,34,6772,267000.00,
502420,ORIENT PAPER,B ,Q,38.35,38.80,37.95,38.10,38.10,38.45,221,30769,1180114.00,
502445,CITADEL     ,X ,Q,83.50,83.50,81.50,82.80,83.00,82.35,72,496658,40976503.00,
502448,ROLLATAINER ,B ,Q,5.85,5.89,5.41,5.60,5.60,5.65,40,30146,167751.00,
502450,SESHA.PAPER ,B ,Q,852.00,852.00,844.00,844.85,844.00,859.45,13,511,434193.00,
502587,RAMA PULP   ,X ,Q,59.30,59.30,59.30,59.30,59.30,56.50,220,85243,5054909.00,
502742,SINTEX IND. ,A ,Q,20.35,20.40,19.40,19.70,19.70,20.45,1571,762890,15198952.00,
502761,BLUE BLEND  ,B ,Q,22.05,22.05,20.60,20.75,20.75,21.00,30,7736,160330.00,
502820,DCM LTD.    ,B ,Q,95.00,97.50,94.00,94.05,94.00,95.80,64,5598,536092.00,
502865,FORBES & CO ,B ,Q,2998.95,3055.00,2970.05,3001.70,3001.70,2990.50,371,4050,12223752.00,
502873,H.P.COTTON  ,X ,Q,32.50,33.85,31.00,32.00,32.00,32.00,11,1138,36697.00,
502933,KATARE SPG. ,XT,Q,12.99,12.99,12.99,12.99,12.99,12.99,2,115,1493.00,
502937,KESORAM IND ,B ,Q,115.00,115.95,112.75,113.95,113.95,115.05,762,567720,65413893.00,
502958,LAKSHMI MILL,X ,Q,3376.10,3400.00,3376.00,3400.00,3400.00,3376.50,3,26,88256.00,
502986,VARDH TEXT  ,B ,Q,1230.00,1250.05,1230.00,1238.45,1244.00,1240.95,88,1261,1562845.00,
503015,MODERN INDIA,X ,Q,41.00,42.00,41.00,41.10,41.00,43.00,11,1200,49500.00,
503031,PENLAND LTD ,B ,Q,22.60,23.60,22.35,22.60,22.60,23.10,266,148628,3432727.00,
503100,PHOENIX MILL,B ,Q,586.45,614.70,575.15,607.95,607.95,592.45,551,5954,3527977.00,
503101,MARATHON NEX,B ,Q,425.00,425.00,412.00,414.95,412.00,420.15,36,2086,872370.00,
503127,RAJA BAHADUR,ST,Q,1290.00,1290.00,1290.00,1290.00,1290.00,1310.00,2,7,9030.00,
503162,REL.CHEMOTX ,X ,Q,85.95,86.90,82.65,83.45,82.80,84.80,53,2174,183403.00,
503169,RUBY MILLS  ,B ,Q,301.20,302.95,295.20,296.15,296.00,298.70,25,642,193022.00,
503205,SHREERAM    ,XT,Q,35.95,36.05,35.95,36.05,36.05,34.35,9,1305,47010.00,
503229,SIMPLEX REAL,X ,Q,89.40,89.40,89.40,89.40,89.40,89.30,1,100,8940.00,
503310,SWAN ENG    ,A ,Q,179.50,186.00,179.15,181.05,181.05,180.05,555,221769,40817699.00,
503349,VICTORIA MIL,X ,Q,3303.30,3630.00,3303.00,3556.05,3435.00,3395.90,24,81,288208.00,
503637,DHANLEELA   ,X ,Q,28.20,28.20,28.20,28.20,28.20,28.25,1,22,620.00,
503657,VEER ENERGY ,X ,Q,29.00,33.80,29.00,30.10,30.00,29.00,564,236770,7269736.00,
503691,SAHARA ONE  ,X ,Q,46.30,46.30,42.10,42.10,42.10,44.10,3,109,5008.00,
503722,BANSW.SYNTEX,B ,Q,97.25,99.45,96.25,98.00,98.00,97.60,15,1874,183052.00,
503776,MODIPON     ,XT,Q,28.50,31.00,28.50,31.00,31.00,30.00,6,207,6397.00,
503804,SHRI DINESH ,X ,Q,167.95,168.35,165.00,168.35,168.35,160.35,18,1182,198624.00,
503806,SRF LIMITED ,A ,Q,1869.05,1919.95,1850.15,1906.50,1906.50,1873.30,544,10071,19069133.00,
503811,SIYARAM SILK,B ,Q,631.45,640.00,630.00,632.95,632.95,634.55,27,255,160906.00,
503831,FOMENTO HOTE,X ,Q,120.00,125.00,120.00,120.05,120.05,120.00,18,7130,876419.00,
503837,SHREE RAJSYN,X ,Q,14.85,15.60,14.85,15.60,15.60,14.95,3,1100,17085.00,
503960,BHARAT BIJLE,B ,Q,1549.30,1579.30,1538.00,1541.15,1538.00,1560.90,138,966,1505162.00,
504000,ELPRO INTER ,X ,Q,45.00,49.55,45.00,49.45,49.55,41.30,522,168316,8176085.00,
504008,EMCO LTD.   ,B ,Q,13.00,13.70,11.50,11.80,12.15,13.20,531,169088,2084031.00,
504028,GEE LTD     ,X ,Q,46.00,46.35,44.05,45.20,46.20,44.65,29,2301,103795.00,
504036,HIND.RECT   ,B ,Q,125.05,133.00,125.05,130.05,130.05,126.00,54,5941,766509.00,
